Date	Time	Tweet (Wenn in dieser Zeile im ersten Feld "Date" steht, wird sie nicht interpretiert, sonst wird versucht, einen Tweet draus zu machen) 	Picture	Longitude	Lattitude	Threading
11.08.2022	11:02:00	Frank Dührkohp: Cataloging, publishing, networking – how to collect and present digital cultural heritage in Lower Saxony https://kulturerbe.niedersachsen.de/start/  https://www.kuenstlerdatenbank.niedersachsen.de/ #IFZO #culturalheritage #wissenlockt				1
12.08.2022	11:20:00	Björn Schreier: Connecting Estonia and Lower Saxony – A virtual journey by historical maps. Opening of the digital exhibition #IFZO #culturalheritage #wissenlockt				2
13.08.2022	11:38:00	Christina Krafczyk: Communicating Cultural Heritage: the Digital Atlas for Monuments and Sites in Lower Saxony #IFZO #culturalheritage #wissenlockt				1
14.08.2022	11:56:00	Margret Plank,: Innovative Exploration of Audiovisual Cultural Heritage: The TIB AV-Portal https://av.tib.eu/  #IFZO #culturalheritage #wissenlockt				1
15.08.2022	12:15:00	Regine Stein: Digital Humanities Services and Digital Editions #IFZO #culturalheritage #wissenlockt				
16.08.2022	13:02:00	Sven Lepa: Researching Your Roots from the Sofa: The Online Resources of the National Archives of Estonia #IFZO #culturalheritage #wissenlockt				2
17.08.2022	13:19:00	Andra Orn: Art re-thinking cultural heritage. Nordic and Baltic art platform NOAR presents: the digital street art project by Edward von Lõngus #IFZO #culturalheritage #wissenlockt				Kultur
18.08.2022	13:42:00	Peeter Tinits: Mining texts at the National Library of Estonia: potential for learning and discovery #IFZO #culturalheritage #wissenlockt				Kultur
19.08.2022	14:00:00	Kaur Riismaa: We learn till we play: NUMU Smart Museum #IFZO #culturalheritage #wissenlockt				Kultur
20.08.2022	14:17:00	Vahur Puik: Ajapaik – 9 years of a crowdsourcing venture #IFZO #culturalheritage #wissenlockt				
21.08.2022	15:17:00	Lambert Heller, @TIBHannover  and Philippe Genêt, @ddbkultur: Coding da Vinci – bringing cultural heritage institutions together with the hacker & designer community to develop ideas and  prototypes #IFZO #culturalheritage #wissenlockt				
22.08.2022	15:35:00	Panel: Digital Cultural Heritage and its innovative usage chaired by Sören Auer #IFZO #culturalheritage #wissenlockt				
